acidosGraxosMonoInsaturados,acidosGraxosPoliInsaturados,acidosGraxosSaturados,acidosGraxosTrans,calcio,carboidratoDisponível,carboidratoTotal,cobre,colesterol,energia,equivalenteFolato,ferro,fibraAlimentar,fosforo,lipidios,magnesio,niacina,nome,potassio,proteina,riboflavina,selenio,sodio,tiamina,umidade,vitaminaARAE,vitaminaARE,vitaminaB12,vitaminaB6,vitaminaC,vitaminaD,vitaminaE,zinco
"49,6","3,28","1,47","2,48","0,69","0,82","1,32",259,"0,00",165,"2,23","0,13","0,50",292,"7,24","2,31","0,02","Carne, boi, flanco, s/ gordura, cozida, c/ molho de tomate (tomate, c/ oleo, cebola e alho), c/ sal","14,0","23,8","0,49","4,49","5,21","0,00","66,1","0,07","0,08","1,86","0,01","0,01","28,1","14,8",152
"34,1","2,34","0,64","1,82","0,80","2,75","3,60",215,"0,00",129,"1,53","0,09","0,85","24,0","5,53","1,61","0,02","Carne, boi, flanco, s/ gordura, cozida,  c/ batata e vegetais - cenoura, chuchu, vagem, c/ oleo, cebola e alho, s/ sal","11,5","16,7","0,47","3,13","7,79","0,00","73,5","0,11","0,06","1,45","0,00","0,02","67,0","34,8",110
"34,1","2,32","1,09","1,80","0,73","2,69","3,54",213,"0,00",128,"1,53","0,09","0,84",203,"5,42","1,61","0,02","Carne, boi, flanco, s/ gordura, cozida,  c/ batata e vegetais - cenoura, chuchu, vagem, c/ oleo, cebola e alho, c/ sal","11,4","16,7","0,45","3,13","7,83","0,00","73,3","0,10","0,06","1,45","0,00","0,02","67,0","34,8",110
"29,8","2,03","1,30","1,58","0,67","2,52","3,60",230,"0,00",114,"1,34","0,08","1,08",279,"4,80","1,48","0,03","Carne, boi, flanco, s/ gordura, cozida,  c/ batata e vegetais - cenoura, chuchu, vagem, c/ molho de tomate (tomate, c/ oleo, cebola e alho), c/ sal","12,2","14,8","0,49","2,76","8,09","0,00","75,6","0,13","0,07","1,25","0,01","0,02","80,4","41,3",100
"40,3","2,72","0,72","2,10","0,80","2,56","3,24",246,"0,00",146,"1,81","0,11","0,68","28,3","6,30","1,88","0,02","Carne, boi, flanco, s/ gordura, cozida,  c/ batata e cenoura, c/ oleo, cebola e alho, s/ sal","11,9","19,5","0,54","3,68","6,18","0,00","70,2","0,10","0,07","1,77","0,00","0,03",100,"50,7",128
"40,3","2,71","1,17","2,08","0,74","2,51","3,18",245,"0,00",145,"1,81","0,11","0,67",208,"6,19","1,88","0,02","Carne, boi, flanco, s/ gordura, cozida,  c/ batata e cenoura, c/ oleo, cebola e alho, c/ sal","11,9","19,5","0,52","3,68","6,21","0,00","70,0","0,10","0,07","1,77","0,00","0,03",100,"50,7",127
102,"4,48","1,77","3,09","0,20","0,00","0,00",324,"0,00",210,"1,35","0,16","0,00",237,"8,79","2,86","0,03","Carne, boi, file mignon, s/ gordura, grelhada/assada, s/ oleo, c/ sal","28,1","32,7","0,37","4,12","4,40","0,13","56,7","7,92","0,14","4,25","0,08","0,05",tr,tr,306
"82,3","3,76","1,40","2,72","0,78","0,83","1,34",322,"0,00",184,"1,08","0,13","0,51",127,"8,12","2,39","0,05","Carne, boi, file mignon, s/ gordura, grelhada/assada, c/ molho de tomate (tomate, c/ oleo, cebola e alho), s/ sal","25,8","26,6","0,52","3,36","5,77","0,10","62,5","6,43","0,14","3,41","0,07","0,05","27,3","13,7",254
102,"4,50","1,33","3,10","0,20","0,05","0,05",325,"0,00",211,"5,00","0,16","0,00","57,9","8,83","2,87","0,03","Carne, boi, file mignon, s/ gordura, grelhada, s/ oleo, s/ sal","28,3","32,8",NA,"4,13","4,31","0,12","57,0",NA,"0,14","4,27","0,08","0,05",tr,tr,308
"97,7","4,45","1,29","3,21","0,88","0,45","0,57",320,"0,00",213,"4,75","0,16","0,12","55,0","9,55","2,74","0,03","Carne, boi, file mignon, s/ gordura, grelhada, c/ oleo, cebola e alho, s/ sal","27,5","31,3","0,14","3,94","4,90","0,11","57,3","0,00","0,14","4,05","0,08","0,05","0,00","0,00",294
