acidosGraxosMonoInsaturados,acidosGraxosPoliInsaturados,acidosGraxosSaturados,acidosGraxosTrans,calcio,carboidratoDisponível,carboidratoTotal,cobre,colesterol,energia,equivalenteFolato,ferro,fibraAlimentar,fosforo,lipidios,magnesio,niacina,nome,potassio,proteina,riboflavina,selenio,sodio,tiamina,umidade,vitaminaARAE,vitaminaARE,vitaminaB12,vitaminaB6,vitaminaC,vitaminaD,vitaminaE,zinco
"1,49","0,24","2,76","0,15","12,4","16,6","19,2","0,08","19,8",157,"16,5","0,88","2,65","73,2","5,18","12,6","1,80","Macarrao, trigo integral, c/ carne bovina musculo, salsa, pimenta-do-reino, c/ manteiga, cebola e alho, s/ sal",106,"9,78","0,04","1,92","13,9","0,07","65,4","40,4","45,8","0,28","0,07","0,86","0,06","0,31","1,61"
"1,49","0,24","2,76","0,15","11,8","16,5","19,2","0,08","19,8",157,"16,1","0,87","2,64","73,0","5,18","12,5","1,79","Macarrao, trigo integral, c/ carne bovina musculo, salsa, pimenta-do-reino, c/ manteiga, cebola e alho, c/ sal",104,"9,77","0,04","1,92",133,"0,07","65,1","39,5","44,1","0,28","0,07","0,76","0,06","0,31","1,61"
"1,28","0,92","1,94","0,08","30,8","16,3","18,5","0,07","14,4",144,"17,5","0,72","2,22","78,3","4,55","12,5","1,77","Macarrao, trigo integral, c/ carne bovina musculo, gratinado, c/ molho branco (manteiga, farinha de trigo e leite) e queijo parmesao, salsa, pimenta-do-reino, s/ sal",112,"8,43","0,08","2,72","24,5","0,07","68,0","27,0","27,9","0,28","0,06","0,52","0,30","0,39","1,32"
"1,50","0,93","2,44","0,10","51,2","16,1","18,4","0,07","15,9",153,"18,0","0,77","2,23","91,7","5,40","13,5","1,77","Macarrao, trigo integral, c/ carne bovina musculo, gratinado, c/ molho branco (manteiga, farinha de trigo e leite) e queijo parmesao, salsa, pimenta-do-reino, c/ sal",116,"8,92","0,09","3,19","48,9","0,07","66,7","32,1","33,2","0,31","0,06","0,52","0,35","0,40","1,39"
"3,43","1,42","0,99","0,01","9,71","16,4","18,9","0,06","14,6",164,"14,1","0,67","2,49","86,7","6,06","16,0","2,17","Macarrao, trigo integral, c/ atum em conserva, salsa, c/ azeite de oliva, s/ sal",109,"9,80","0,05","15,0","90,3","0,10","64,7","2,79","5,58","0,48","0,06","0,34","1,35","1,27","0,46"
"3,43","1,42","0,99","0,01","8,82","16,4","18,9","0,06","14,6",164,"13,5","0,66","2,47","86,4","6,06","15,9","2,17","Macarrao, trigo integral, c/ atum em conserva, salsa, c/ azeite de oliva, c/ sal",105,"9,78","0,05","15,0",278,"0,10","64,3","1,48","2,96","0,48","0,06","0,18","1,35","1,27","0,45"
"2,47","1,47","2,03","0,03","17,2","16,6","19,1","0,07",100,163,"20,5","0,83","2,46","80,8","6,68","11,8","1,82","Macarrao, trigo integral cozido, com ovo mexido, c/ toucinho defumado (bacon), s/ sal","78,5","7,79","0,18","5,82","50,5","0,08","66,0","44,5","44,6","0,31","0,06","0,00","0,50","0,48","0,68"
"2,35","1,40","1,93","0,03","17,2","16,6","19,1","0,07","99,9",159,"20,5","0,83","2,46","80,3","6,38","11,8","1,79","Macarrao, trigo integral cozido, com ovo mexido, c/ toucinho defumado (bacon), c/ sal","77,8","7,66","0,18","5,82",237,"0,08","66,0","44,5","44,6","0,30","0,06","0,00","0,50","0,48","0,67"
"8,20","2,54","3,07","0,08","84,6","17,9","21,2","0,10","7,11",232,"16,9","0,58","3,22",101,"14,3","19,0","1,55","Macarrao, trigo integral cozido, c/ molho pesto (azeite de oliva, queijo parmesao, manjericao, noz, alho, c/ pimenta-do-reino), s/ sal","76,4","6,36","0,08","3,82",108,"0,09","57,5","26,0","47,4","0,08","0,09","0,49","0,04","1,90","0,68"
"8,05","2,49","3,02","0,08","83,2","17,9","21,1","0,10","6,98",229,"16,8","0,58","3,21",100,"14,0","18,8","1,55","Macarrao, trigo integral cozido, c/ molho pesto (azeite de oliva, queijo parmesao, manjericao, noz, alho, c/ pimenta-do-reino), c/ sal","75,6","6,31","0,08","3,79",294,"0,09","57,4","25,5","46,5","0,08","0,09","0,48","0,04","1,86","0,67"
"2,50","1,47","2,02","0,05","15,5","18,9","19,5","0,05",102,164,"55,5","1,51","0,64","71,9","6,68","3,31","1,31","Macarrao, trigo cozido, com ovo mexido, c/ toucinho defumado (bacon), s/ sal","67,3","6,84","0,15","5,22","50,5","0,05","66,6","44,5","44,6","0,31",tr,"0,00","0,50","0,45","0,63"
"8,23","2,54","3,06","0,10","82,8","20,4","21,7","0,08","9,42",234,"54,3","1,31","1,28","92,0","14,3","9,87","1,01","Macarrao, trigo cozido, c/ molho pesto (azeite de oliva, queijo parmesao, manjericao, noz, alho, c/ pimenta-do-reino), s/ sal","64,4","5,35","0,05","3,18",108,"0,05","58,1","26,0","47,4","0,08","0,03","0,49","0,04","1,86","0,63"
"8,08","2,49","3,01","0,10","81,4","20,4","21,6","0,08","9,28",231,"54,3","1,31","1,27","90,8","14,0","9,69","1,01","Macarrao, trigo cozido, c/ molho pesto (azeite de oliva, queijo parmesao, manjericao, noz, alho, c/ pimenta-do-reino), c/ sal","63,6","5,30","0,04","3,15",294,"0,05","58,0","25,5","46,5","0,08","0,03","0,48","0,04","1,83","0,62"
"6,90","3,03","6,81","0,24",135,"10,6","12,5","0,08",190,268,"25,6","0,96","1,86",179,"18,6","13,7","1,70","Macarrao, carbonara, s/ sal","91,1","13,5","0,14","9,32",234,"0,07","54,3","63,8","64,8","0,69","0,05","0,00","0,88","1,26","1,22"
"6,92","3,03","6,81","0,25",134,"12,0","12,8","0,06",191,269,"47,5","1,39","0,72",174,"18,6","8,37","1,38","Macarrao, carbonara, s/ sal","84,1","12,9","0,12","8,95",234,"0,05","54,6","63,8","64,8","0,69","0,02","0,00","0,88","1,24","1,19"
